"","uniqid","zip","year","month","day","GHCND id","Display Name","Lat","Long","FIPS (CNTY)","FIPS (ST)","ZIP","ZIP Display Name","AWND - Average daily wind speed (tenths of meters per second)","DAPR - Number of days included in the multiday precipitation total (MDPR)","FRGT - Top of frozen ground layer (cm)","FRTH - Thickness of frozen ground layer (cm)","GAHT - Difference between river and gauge height (cm)","MDPR - Multiday precipitation total (tenths of mm; use with DAPR and DWPR, if available)","PGTM - Peak gust time (hours and minutes, i.e., HHMM)","PRCP - Precipitation (tenths of mm)","SNOW - Snowfall (mm)","SNWD - Snow depth (mm)","THIC - Thickness of ice on water (tenths of mm)","TMAX - Maximum temperature (tenths of degrees C)","TMIN - Minimum temperature (tenths of degrees C)","TOBS - Temperature at the time of observation (tenths of degrees C)","WDFG - Direction of peak wind gust (degrees)","WESD - Water equivalent of snow on the ground (tenths of mm)","WESF - Water equivalent of snowfall (tenths of mm)","WSFG - Peak guest wind speed (tenths of meters per second)","WT01 - Fog, ice fog, or freezing fog (may include heavy fog)","WT03 - Thunder","WT04 - Ice pellets, sleet, snow pellets, or small hail","WT05 - Hail (may include small hail)","WT06 - Glaze or rime","WT07 - Dust, volcanic ash, blowing dust, blowing sand, or blowing obstruction","WT08 - Smoke or haze","WT09 - Blowing or drifting snow","WT11 - High or damaging winds","WT14 - Drizzle","WT16 - Rain (may include freezing rain, drizzle, and freezing drizzle)","WT18 - Snow, snow pellets, snow grains, or ice crystals","COOP id","Display Name","Lat","Long","FIPS (CNTY)","FIPS (ST)","ZIP","ZIP Display Name","00:00 - HPCP (Precipitation (100th of an inch))","01:00 - HPCP","02:00 - HPCP","03:00 - HPCP","04:00 - HPCP","05:00 - HPCP","06:00 - HPCP","07:00 - HPCP","08:00 - HPCP","09:00 - HPCP","10:00 - HPCP","11:00 - HPCP","12:00 - HPCP","13:00 - HPCP","14:00 - HPCP","15:00 - HPCP","16:00 - HPCP","17:00 - HPCP","18:00 - HPCP","19:00 - HPCP","20:00 - HPCP","21:00 - HPCP","22:00 - HPCP","23:00 - HPCP"
"2000","31","78666","1999","12","18","GHCND:USC00417983","SAN MARCOS, TX US","29.8832","-97.9494","48209","48","78666","San Marcos, TX 78666","","","","","","","","0","0","0","","167","72","94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","32","97302","1999","12","17","GHCND:USW00024232","SALEM MCNARY FIELD, OR US","44.905","-123.0011","41047","41","97302","Salem, OR 97302","63","","","","","","1432","89","","","","133","89","","","0","","","1","","","","","","","","","","1","","COOP:357500","SALEM MCNARY FIELD, OR US","44.905","-123.0011","41047","41","97302","Salem, OR 97302","","","","","","","","","","10","8","0","","","0","1","11","5","","","","","",""
"2000","33","41017","1999","12","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","34","8902","1999","12","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","35","71461","1999","12","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","36","78666","1999","12","17","GHCND:USC00417983","SAN MARCOS, TX US","29.8832","-97.9494","48209","48","78666","San Marcos, TX 78666","","","","","","","","0","0","0","","211","0","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","37","78586","1999","12","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","38","92324","1999","12","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","39","","1999","12","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","40","33066","1999","12","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","41","60067","1999","12","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","42","84663","1999","12","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","43","92336","1999","12","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","44","20032","1999","12","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","45","49507","1999","12","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","46","33063","1999","12","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","47","71118","1999","12","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","48","78155","1999","12","21","GHCND:USC00418187","SEGUIN 1 SSW, TX US","29.5519","-97.9697","48187","48","78155","Seguin, TX 78155","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","49","59840","2000","3","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
